player id,team,objtype,total_detections,valid_speed_measurements,valid_time_seconds,total_distance_meters,avg_speed_mps,max_speed_mps,min_speed_mps,std_speed_mps,speed_95th_percentile,avg_acceleration_mps2,max_acceleration_mps2,min_acceleration_mps2,acceleration_measurements,avg_time_interval
19,2,1,60,58,29.232561666666673,52.579991894445044,1.8681194878051797,10.836163603248032,0.0,1.665512337606481,4.068993389798137,-0.21743369329351345,3.2159822669143994,-9.738876361627193,54,0.5040096839080461
17,2,1,72,70,29.02401999999994,68.35461693508283,2.5100426800053683,10.627369060096198,0.0,2.1791471887204854,7.408353561446041,0.17947998225221698,7.933296359816142,-9.93193437324581,57,0.4146288571428563
16,2,1,68,66,29.02401999999994,64.34641919570723,2.168454693651803,10.157285143509455,0.0,1.7158836190736872,4.245679442637808,-0.25614091336325867,5.762496726421007,-9.796188463795353,57,0.43975787878787787
15,1,1,69,68,29.357686666666666,56.75850133106714,2.078819323023689,7.931157908729375,0.0,1.4740132295018102,4.054282024086618,-0.08562613638469596,4.73719550955977,-9.503243266585429,60,0.4317306862745098
14,2,1,70,68,29.232561666666733,38.110472345717575,1.490426242289235,7.378699365399864,0.0,1.4210989108786078,4.386525314262641,-0.4092721020983319,3.984682269585068,-7.59417152432797,58,0.429890612745099
12,1,1,75,74,29.441103333333338,50.35429330232502,1.842537557528098,6.6438496879998885,0.0,1.2886145786400305,4.063284005248054,0.10857908039253522,8.43749110152221,-9.507933040916598,61,0.3978527477477478
21,1,1,58,57,29.35768666666667,49.87820421125716,1.714593225360372,6.332132426402984,0.0,1.0754101090579418,3.232064678712108,-0.07109212985069628,5.268128773068454,-7.609025519239996,52,0.515047134502924
13,2,1,74,73,29.441103333333334,32.45806594006041,1.6299107411826996,6.2091854376035505,0.0,1.4811155476010718,5.405407069852007,-0.06147595527107407,6.187799078045413,-8.235657903545354,60,0.40330278538812786
20,1,1,65,64,29.315978333333334,62.87486344186394,2.215012888511101,5.096962754452105,0.0,1.3542990846718936,4.599886129349119,-0.484517894942959,5.975183273578671,-9.705434167025812,58,0.45806216145833334
18,1,1,66,65,29.35768666666667,56.649211643532986,1.9160271368456026,4.420069126814828,0.0,1.1263401139161495,3.6005412277980713,-0.19169986858933494,4.0898961677943335,-8.390145559641269,58,0.451656717948718
