frame,zone,player id,x,y,birdX,birdY,time,objtype,team,possession
14,0,8,2490,1328,382.891784667969,339.666931152344,0.583916666666666,1,0,0
14,3,12,1076,1262,176.805114746094,311.556030273438,0.583916666666666,1,1,0
14,3,13,1291,1222,204.744338989258,293.600616455078,0.583916666666666,1,2,0
14,3,14,1485,1033,218.284408569336,179.966827392578,0.583916666666666,1,2,0
14,4,16,962,1058,121.850479125977,198.640380859375,0.583916666666666,1,2,0
14,4,17,751,1126,100.415252685547,242.616317749023,0.583916666666666,1,2,1
14,0,25,745,922,32.0983505249023,81.0568695068359,0.583916666666666,37,-1,-1
15,0,8,2484,1333,381.610015869141,341.558288574219,0.625625,1,0,0
15,3,12,1084,1253,176.8349609375,307.627532958984,0.625625,1,1,0
15,3,13,1300,1216,205.528732299805,290.746276855469,0.625625,1,2,0
15,3,14,1482,1030,217.352615356445,177.667663574219,0.625625,1,2,0
15,4,17,753,1128,101.245803833008,243.794906616211,0.625625,1,2,1
15,0,25,763,919,34.9083557128906,77.810661315918,0.625625,37,-1,-1
16,0,8,2469,1334,379.407409667969,341.919982910156,0.667333333333333,1,0,0
16,3,12,1082,1252,176.406188964844,307.184112548828,0.667333333333333,1,1,0
16,3,13,1310,1218,207.293579101563,291.710144042969,0.667333333333333,1,2,0
16,3,14,1486,1035,218.704223632813,181.489517211914,0.667333333333333,1,2,0
16,4,15,1188,1117,174.407852172852,237.261993408203,0.667333333333333,1,1,0
16,4,16,958,1062,122.051620483398,201.455184936523,0.667333333333333,1,2,0
16,4,17,762,1125,102.060295104981,242.026107788086,0.667333333333333,1,2,0
16,4,18,900,1150,130.994049072266,256.419525146484,0.667333333333333,1,1,0
16,4,21,838,1127,115.584922790527,243.216567993164,0.667333333333333,1,1,0
17,0,8,2467,1335,379.042358398438,342.294311523438,0.709041666666666,1,0,0
17,3,12,1086,1257,177.648178100586,309.387298583984,0.709041666666666,1,1,0
17,3,13,1311,1212,206.842834472656,288.824493408203,0.709041666666666,1,2,0
17,3,14,1483,1039,218.557144165039,184.512451171875,0.709041666666666,1,2,0
17,4,15,1190,1115,174.44856262207,236.044494628906,0.709041666666666,1,1,0
17,4,16,957,1059,121.148979187012,199.348724365234,0.709041666666666,1,2,0
17,4,17,753,1133,102.453666687012,246.71533203125,0.709041666666666,1,2,0
17,4,18,896,1146,129.514236450195,254.176788330078,0.709041666666666,1,1,0
17,4,19,1042,1107,146.960006713867,231.115142822266,0.709041666666666,1,2,0
17,4,20,1131,1035,149.089218139648,181.733474731445,0.709041666666666,1,1,0
17,4,21,828,1134,115.449089050293,247.307495117188,0.709041666666666,1,1,0
17,0,28,572,1176,83.0545501708984,270.341827392578,0.709041666666666,1,0,0
18,0,8,2467,1335,379.042358398438,342.294311523438,0.750749999999999,1,0,0
